stock_jan1,entries,exits,year,entry_rate,exit_rate,definition,group
157416,22412,20454,2006,0.14237434568277685,0.12993596584845252,E0 record,All
159374,22365,19476,2007,0.1403302922685005,0.12220311970584913,E0 record,All
162263,25648,15994,2008,0.15806437696825523,0.09856837356637065,E0 record,All
171917,37346,14515,2009,0.21723273440090277,0.08443027740130411,E0 record,All
194748,38265,17520,2010,0.1964846879043687,0.08996241296444636,E0 record,All
215493,32659,20391,2011,0.1515548068846784,0.0946248834068856,E0 record,All
227761,30094,17113,2012,0.1321297324827341,0.07513577829391335,E0 record,All
240742,28779,22786,2013,0.11954291316014655,0.09464904337423466,E0 record,All
246735,29348,29499,2014,0.11894542728028046,0.11955741990394553,E0 record,All
246584,27050,24354,2015,0.10969892612659378,0.09876553223242383,E0 record,All
249280,23950,23342,2016,0.09607670089858793,0.09363767650834404,E0 record,All
249888,23893,24608,2017,0.09561483544627994,0.09847611730055064,E0 record,All
249173,17803,26208,2018,0.07144835114558962,0.1051799352257267,E0 record,All
240768,20243,24538,2019,0.08407678761297183,0.10191553694843168,E0 record,All
236473,21401,17097,2020,0.0905008182752365,0.07230000888050644,E0 record,All
240777,24137,21353,2021,0.1002462859824651,0.08868371979051155,E0 record,All
243561,23320,20132,2022,0.09574603487422043,0.08265691141028325,E0 record,All
246749,23003,21791,2023,0.09322428864959939,0.08831241463997828,E0 record,All
247961,23996,21008,2024,0.09677328289529402,0.08472300079447978,E0 record,All
61013,9896,9983,2006,0.16219494206152787,0.16362086768393622,E0 record,Convenience
46824,8223,4951,2006,0.17561506919528447,0.1057363745087989,E0 record,Grocery
38501,2896,3288,2006,0.07521882548505233,0.08540037921092959,E0 record,Large store
600,44,335,2006,0.07333333333333333,0.5583333333333333,E0 record,Other
10478,1353,1897,2006,0.12912769612521474,0.18104600114525674,E0 record,Specialty
60926,10048,9538,2007,0.1649213800347963,0.1565505695433805,E0 record,Convenience
50096,8828,5931,2007,0.17622165442350687,0.11839268604279783,E0 record,Grocery
38109,2213,2025,2007,0.05807027211419875,0.05313705423915611,E0 record,Large store
309,5,118,2007,0.016181229773462782,0.3818770226537217,E0 record,Other
9934,1271,1864,2007,0.1279444332595128,0.18763841352929334,E0 record,Specialty
61436,11481,7824,2008,0.18687740087245264,0.12735204114851228,E0 record,Convenience
52993,10467,5336,2008,0.19751665314286793,0.10069254429830354,E0 record,Grocery
38297,2350,1387,2008,0.061362508812700736,0.03621693605243231,E0 record,Large store
196,5,2,2008,0.025510204081632654,0.01020408163265306,E0 record,Other
9341,1345,1445,2008,0.14398886628840596,0.15469435820575955,E0 record,Specialty
65093,17550,6819,2009,0.2696142442351712,0.10475780805923832,E0 record,Convenience
58124,14850,5209,2009,0.2554882664647994,0.08961874612896566,E0 record,Grocery
39260,3019,1339,2009,0.07689760570555272,0.03410596026490066,E0 record,Large store
199,4,0,2009,0.020100502512562814,0.0,E0 record,Other
9241,1923,1148,2009,0.20809436208202575,0.124228979547668,E0 record,Specialty
75824,22831,8746,2010,0.30110519096855876,0.11534606457058451,E0 record,Convenience
67765,11375,5879,2010,0.16785951449863498,0.08675569984505276,E0 record,Grocery
40940,1753,1408,2010,0.04281875915974597,0.03439179286761114,E0 record,Large store
203,2,6,2010,0.009852216748768473,0.029556650246305417,E0 record,Other
10016,2304,1481,2010,0.23003194888178913,0.14786341853035143,E0 record,Specialty
89909,20476,10816,2011,0.22774138295387558,0.12029941385178347,E0 record,Convenience
73261,9240,6270,2011,0.12612440452628274,0.08558441735712043,E0 record,Grocery
41285,1654,1510,2011,0.0400629768681119,0.036575027249606394,E0 record,Large store
199,1,3,2011,0.005025125628140704,0.01507537688442211,E0 record,Other
10839,1288,1792,2011,0.11883015038287664,0.16532890488052404,E0 record,Specialty
99569,19064,9314,2012,0.1914652150769818,0.09354317106730006,E0 record,Convenience
76231,8131,5184,2012,0.10666264380632551,0.06800383046267267,E0 record,Grocery
41429,1885,1247,2012,0.045499529315213984,0.030099688623910787,E0 record,Large store
197,2,9,2012,0.01015228426395939,0.04568527918781726,E0 record,Other
10335,1012,1359,2012,0.09791969037252056,0.13149492017416545,E0 record,Specialty
109319,18117,12589,2013,0.16572599456636083,0.11515838966693805,E0 record,Convenience
79178,7944,7004,2013,0.10033089999747405,0.08845891535527546,E0 record,Grocery
42067,1678,1403,2013,0.03988874890056339,0.03335155822854018,E0 record,Large store
190,2,2,2013,0.010526315789473684,0.010526315789473684,E0 record,Other
