fips,state,county20,county24,pop2020,pop_lila,pop_lowinc,pop_urban,pov_x_pop,pop_pov_ok,la_pop,snap_hh,ohu,hunv,n_tracts,n_lila_tracts,pop_lila_drive,lila_pop_share,low_access_pop_share,lowinc_pop_share,urban_pop_share,poverty_rate,snap_hh_share,no_vehicle_hh_share,lila_pop_share_drive,st,stock_jan1_E1,stock_jan1_E2,exits_E1,exits_E2,entries_E1,entries_E2,exit_rate_E1,exit_rate_E2,entry_rate_E1,entry_rate_E2,locs_2025,locs_2020,new_since_2020,lost_since_2020,share_2025_new,share_2020_lost,pov_q,conv_share_2025,large_share_2025,log_pop,pov10,lila10,urban10,y_E2,y_E1,y_lost,conv10
01001,Alabama,Autauga County,Autauga County,58805,0.0,13284,29652,661916.4,58805,2597,2116.0,22412,947.0,17,0.0,3409.0,0.0,0.0441629113170648,0.2258991582348439,0.5042428364934954,11.256124479210952,0.0944137069427092,0.0422541495627342,0.0579712609471983,AL,829.0,829.0,77.0,53.0,94.0,70.0,0.0928829915560916,0.0639324487334137,0.1133896260554885,0.0844390832328106,47.0,42.0,11.0,6.0,0.2340425531914893,0.1428571428571428,2,0.44680851063829785,0.14893617021276595,10.981982164285137,1.1256124479210952,0.0,5.042428364934954,6.393244873341369,9.28829915560916,14.28571428571428,4.468085106382978
01003,Alabama,Baldwin County,Baldwin County,231767,16745.0,36985,109032,2320535.5,231767,31066,6568.0,93116,2644.0,43,4.0,20975.0,0.0722492848421043,0.1340397899614699,0.1595783696557318,0.4704379829742802,10.012363710105408,0.0705356759310966,0.0283946904935779,0.0905003732196559,AL,3035.0,2994.0,192.0,134.0,345.0,284.0,0.0632619439868204,0.0447561790247161,0.1136738056013179,0.0948563794255177,224.0,180.0,67.0,23.0,0.2991071428571428,0.1277777777777777,2,0.42035398230088494,0.168141592920354,12.35348783564607,1.0012363710105407,0.722492848421043,4.704379829742802,4.47561790247161,6.32619439868204,12.777777777777771,4.20353982300885
01005,Alabama,Barbour County,Barbour County,25223,0.0,20727,6813,556908.7,25223,889,1943.0,9677,958.0,9,0.0,6813.0,0.0,0.0352456091662371,0.8217499900884113,0.2701106133291044,22.0793997541926,0.2007853673659191,0.0989976232303399,0.2701106133291044,AL,647.0,646.0,71.0,44.0,88.0,62.0,0.1097372488408037,0.0681114551083591,0.1360123647604327,0.0959752321981424,42.0,38.0,9.0,5.0,0.2142857142857142,0.131578947368421,5,0.5348837209302325,0.11627906976744186,10.135511555656276,2.20793997541926,0.0,2.701106133291044,6.81114551083591,10.97372488408037,13.157894736842099,5.348837209302325
01007,Alabama,Bibb County,Bibb County,22293,0.0,19659,0,501801.4,22293,19,1592.0,7927,418.0,8,0.0,0.0,0.0,0.0008522854707755,0.8818463194724802,0.0,22.509370654465528,0.2008325974517472,0.0527311719439889,0.0,AL,319.0,318.0,25.0,18.0,36.0,29.0,0.0783699059561128,0.0566037735849056,0.1128526645768025,0.0911949685534591,23.0,16.0,9.0,2.0,0.391304347826087,0.125,5,0.43478260869565216,0.13043478260869565,10.01202800682558,2.2509370654465526,0.0,0.0,5.66037735849056,7.83699059561128,12.5,4.3478260869565215
01009,Alabama,Blount County,Blount County,59134,0.0,19226,0,782192.2,59134,0,2731.0,22367,897.0,16,0.0,0.0,0.0,0.0,0.3251259850509013,0.0,13.22745290357493,0.1220995216166674,0.0401037242365985,0.0,AL,610.0,624.0,56.0,49.0,81.0,73.0,0.0918032786885245,0.078525641025641,0.1327868852459016,0.1169871794871794,46.0,32.0,18.0,4.0,0.391304347826087,0.125,3,0.3695652173913043,0.10869565217391304,10.987561334083114,1.322745290357493,0.0,0.0,7.8525641025640995,9.18032786885245,12.5,3.695652173913043
01011,Alabama,Bullock County,Bullock County,10357,0.0,10357,0,355219.4,10357,243,1255.0,3928,367.0,4,0.0,2321.0,0.0,0.0234623925847253,1.0,0.0,34.29751858646326,0.3195010183299389,0.0934317718940936,0.2240996427536931,AL,241.0,230.0,27.0,20.0,31.0,23.0,0.1120331950207468,0.0869565217391304,0.1286307053941908,0.1,14.0,11.0,4.0,1.0,0.2857142857142857,0.0909090909090909,5,0.5333333333333333,0.13333333333333333,9.24541789858888,3.429751858646326,0.0,0.0,8.695652173913041,11.20331950207468,9.09090909090909,5.333333333333333
01013,Alabama,Butler County,Butler County,19051,2526.0,16321,3937,424642.2,19051,781,1312.0,8170,451.0,9,1.0,2526.0,0.1325914650149598,0.0409952233478557,0.8567004356726681,0.2066558185921999,22.28975906776547,0.1605875152998776,0.0552019583843329,0.1325914650149598,AL,536.0,538.0,56.0,39.0,65.0,48.0,0.1044776119402985,0.0724907063197026,0.1212686567164179,0.0892193308550185,33.0,27.0,9.0,3.0,0.2727272727272727,0.1111111111111111,5,0.48484848484848486,0.12121212121212122,9.854874872615435,2.228975906776547,1.325914650149598,2.066558185921999,7.24907063197026,10.44776119402985,11.11111111111111,4.848484848484849
01015,Alabama,Calhoun County,Calhoun County,116441,7464.0,53664,71513,2219601.6,116431,9035,8057.0,46437,2875.0,38,2.0,31639.0,0.0641011327625149,0.0775929440660935,0.4608685943954449,0.6141565256224182,19.06366517508224,0.1735038869866701,0.0619118375433382,0.2717170068961964,AL,2539.0,2536.0,266.0,157.0,316.0,207.0,0.1047656557699881,0.0619085173501577,0.1244584482079558,0.0816246056782334,141.0,128.0,34.0,21.0,0.2411347517730496,0.1640625,5,0.4928571428571429,0.16428571428571428,11.665139985936731,1.9063665175082238,0.641011327625149,6.141565256224181,6.1908517350157695,10.47656557699881,16.40625,4.928571428571429
01017,Alabama,Chambers County,Chambers County,34772,4489.0,23596,13240,547736.5,34772,2247,2184.0,14238,983.0,9,1.0,13240.0,0.129098124928103,0.0646209593926147,0.678591970551018,0.3807661336707695,15.75222880478546,0.1533923303834808,0.0690405955892681,0.3807661336707695,AL,689.0,693.0,56.0,33.0,77.0,54.0,0.081277213352685,0.0476190476190476,0.1117561683599419,0.0779220779220779,45.0,40.0,10.0,5.0,0.2222222222222222,0.125,4,0.5454545454545454,0.1590909090909091,10.456567744198955,1.575222880478546,1.29098124928103,3.807661336707695,4.76190476190476,8.127721335268498,12.5,5.454545454545454
01019,Alabama,Cherokee County,Cherokee County,24971,0.0,11927,0,370137.0,24971,0,1121.0,10411,283.0,8,0.0,0.0,0.0,0.0,0.4776340555043851,0.0,14.82267430219054,0.107674574968783,0.0271827874363653,0.0,AL,525.0,526.0,55.0,39.0,61.0,45.0,0.1047619047619047,0.0741444866920152,0.1161904761904761,0.085551330798479,28.0,24.0,9.0,5.0,0.3214285714285714,0.2083333333333333,4,0.42857142857142855,0.14285714285714285,10.125470430529585,1.482267430219054,0.0,0.0,7.41444866920152,10.47619047619047,20.83333333333333,4.285714285714286
